"pot","mass","organ","number_of_plants","species","block","treatment"
"LB.1.0.S",2.08,"S",6,"LB","1","0"
"LB.1.8.S",0.37,"S",6,"LB","1","8"
"LB.1.16.S",0.84,"S",6,"LB","1","16"
"LB.1.24.S",0.54,"S",6,"LB","1","24"
"LB.2.0.S",0.28,"S",6,"LB","2","0"
"LB.2.8.S",0.2,"S",6,"LB","2","8"
"LB.2.16.S",0.68,"S",6,"LB","2","16"
"LB.2.24.S",0.23,"S",6,"LB","2","24"
"LB.3.0.S",0.58,"S",6,"LB","3","0"
"LB.3.8.S",0.8,"S",6,"LB","3","8"
"LB.3.16.S",0.54,"S",5,"LB","3","16"
"LB.3.24.S",0.44,"S",5,"LB","3","24"
"LB.4.0.S",0.41,"S",6,"LB","4","0"
"LB.4.8.S",0.56,"S",6,"LB","4","8"
"LB.4.16.S",0.07,"S",4,"LB","4","16"
"LB.4.24.S",0.28,"S",4,"LB","4","24"
"LB.5.0.S",1.42,"S",6,"LB","5","0"
"LB.5.8.S",0.25,"S",6,"LB","5","8"
"LB.5.16.S",0.6,"S",6,"LB","5","16"
"LB.5.24.S",0.98,"S",5,"LB","5","24"
"LB.6.0.S",0.74,"S",6,"LB","6","0"
"LB.6.8.S",0.46,"S",6,"LB","6","8"
"LB.6.16.S",0.5,"S",6,"LB","6","16"
"LB.6.24.S",0.28,"S",6,"LB","6","24"
"SG.1.0.S",2.44,"S",6,"SG","1","0"
"SG.1.8.S",1.74,"S",6,"SG","1","8"
"SG.1.16.S",2.85,"S",4,"SG","1","16"
"SG.1.24.S",2.78,"S",5,"SG","1","24"
"SG.2.0.S",2.58,"S",6,"SG","2","0"
"SG.2.8.S",2.62,"S",6,"SG","2","8"
"SG.2.16.S",2.77,"S",6,"SG","2","16"
"SG.2.24.S",2.82,"S",6,"SG","2","24"
"SG.3.0.S",3.21,"S",6,"SG","3","0"
"SG.3.8.S",3.28,"S",6,"SG","3","8"
"SG.3.16.S",1.44,"S",6,"SG","3","16"
"SG.3.24.S",2.2,"S",6,"SG","3","24"
"SG.4.0.S",1.87,"S",6,"SG","4","0"
"SG.4.8.S",1.7,"S",6,"SG","4","8"
"SG.4.16.S",1.05,"S",5,"SG","4","16"
"SG.4.24.S",0.93,"S",5,"SG","4","24"
"SG.5.0.S",1.82,"S",6,"SG","5","0"
"SG.5.8.S",2.07,"S",5,"SG","5","8"
"SG.5.16.S",1.35,"S",6,"SG","5","16"
"SG.5.24.S",0.9,"S",5,"SG","5","24"
"SG.6.0.S",1.99,"S",6,"SG","6","0"
"SG.6.8.S",2.68,"S",6,"SG","6","8"
"SG.6.16.S",2.05,"S",6,"SG","6","16"
"SG.6.24.S",1.74,"S",5,"SG","6","24"
"BG.1.0.S",2.67,"S",6,"BG","1","0"
"BG.1.8.S",2.37,"S",6,"BG","1","8"
"BG.1.16.S",2.04,"S",5,"BG","1","16"
"BG.1.24.S",1.12,"S",4,"BG","1","24"
"BG.2.0.S",3.5,"S",6,"BG","2","0"
"BG.2.8.S",3.22,"S",6,"BG","2","8"
"BG.2.16.S",1.81,"S",5,"BG","2","16"
"BG.2.24.S",1.97,"S",5,"BG","2","24"
"BG.3.0.S",1.29,"S",5,"BG","3","0"
"BG.3.8.S",1.71,"S",6,"BG","3","8"
"BG.3.16.S",1.92,"S",6,"BG","3","16"
"BG.3.24.S",0.75,"S",3,"BG","3","24"
"BG.4.0.S",1.98,"S",6,"BG","4","0"
"BG.4.8.S",1.2,"S",5,"BG","4","8"
"BG.4.16.S",0.37,"S",2,"BG","4","16"
"BG.4.24.S",0.22,"S",4,"BG","4","24"
"BG.5.0.S",3.08,"S",6,"BG","5","0"
"BG.5.8.S",2.42,"S",6,"BG","5","8"
"BG.5.16.S",2.23,"S",5,"BG","5","16"
"BG.5.24.S",1.08,"S",5,"BG","5","24"
"BG.6.0.S",2.08,"S",6,"BG","6","0"
"BG.6.8.S",2.23,"S",6,"BG","6","8"
"BG.6.16.S",1.93,"S",6,"BG","6","16"
"BG.6.24.S",0.73,"S",3,"BG","6","24"
"BM.1.0.S",3.28,"S",6,"BM","1","0"
"BM.1.8.S",3.19,"S",6,"BM","1","8"
"BM.1.16.S",2.88,"S",6,"BM","1","16"
"BM.1.24.S",3.61,"S",6,"BM","1","24"
"BM.2.0.S",4.83,"S",6,"BM","2","0"
"BM.2.8.S",4.46,"S",6,"BM","2","8"
"BM.2.16.S",4.93,"S",6,"BM","2","16"
"BM.2.24.S",6.08,"S",6,"BM","2","24"
"BM.3.0.S",4.85,"S",6,"BM","3","0"
"BM.3.8.S",6.12,"S",6,"BM","3","8"
"BM.3.16.S",5.94,"S",6,"BM","3","16"
"BM.3.24.S",6.43,"S",6,"BM","3","24"
"BM.4.0.S",5.13,"S",6,"BM","4","0"
"BM.4.8.S",2.64,"S",6,"BM","4","8"
"BM.4.16.S",6.09,"S",6,"BM","4","16"
"BM.4.24.S",5.84,"S",6,"BM","4","24"
"BM.5.0.S",7.06,"S",6,"BM","5","0"
"BM.5.8.S",4.49,"S",6,"BM","5","8"
"BM.5.16.S",4.62,"S",6,"BM","5","16"
"BM.5.24.S",7.04,"S",6,"BM","5","24"
"BM.6.0.S",5.38,"S",6,"BM","6","0"
"BM.6.8.S",5.74,"S",6,"BM","6","8"
"BM.6.16.S",3.72,"S",6,"BM","6","16"
"BM.6.24.S",3.27,"S",6,"BM","6","24"
"LB.1.0.S",0.96,"R",6,"LB","1","0"
"LB.1.8.S",0.05,"R",6,"LB","1","8"
"LB.1.16.S",0.2,"R",6,"LB","1","16"
"LB.1.24.S",0.12,"R",6,"LB","1","24"
"LB.2.0.S",0.15,"R",6,"LB","2","0"
"LB.2.8.S",0.21,"R",6,"LB","2","8"
"LB.2.16.S",0.3,"R",6,"LB","2","16"
"LB.2.24.S",0.18,"R",6,"LB","2","24"
"LB.3.0.S",0.28,"R",6,"LB","3","0"
"LB.3.8.S",0.32,"R",6,"LB","3","8"
"LB.3.16.S",0.21,"R",5,"LB","3","16"
"LB.3.24.S",0.4,"R",5,"LB","3","24"
"LB.4.0.S",0.24,"R",6,"LB","4","0"
"LB.4.8.S",0.26,"R",6,"LB","4","8"
"LB.4.16.S",0.03,"R",4,"LB","4","16"
"LB.4.24.S",0.04,"R",4,"LB","4","24"
"LB.5.0.S",0.43,"R",6,"LB","5","0"
"LB.5.8.S",0.18,"R",6,"LB","5","8"
"LB.5.16.S",0.15,"R",6,"LB","5","16"
"LB.5.24.S",0.3,"R",5,"LB","5","24"
"LB.6.0.S",0.31,"R",6,"LB","6","0"
"LB.6.8.S",0.3,"R",6,"LB","6","8"
"LB.6.16.S",0.21,"R",6,"LB","6","16"
"LB.6.24.S",0.08,"R",6,"LB","6","24"
"SG.1.0.S",1.36,"R",6,"SG","1","0"
"SG.1.8.S",0.57,"R",6,"SG","1","8"
"SG.1.16.S",0.66,"R",4,"SG","1","16"
"SG.1.24.S",0.42,"R",5,"SG","1","24"
"SG.2.0.S",1.42,"R",6,"SG","2","0"
"SG.2.8.S",0.71,"R",6,"SG","2","8"
"SG.2.16.S",1.08,"R",6,"SG","2","16"
"SG.2.24.S",0.47,"R",6,"SG","2","24"
"SG.3.0.S",1.35,"R",6,"SG","3","0"
"SG.3.8.S",1.03,"R",6,"SG","3","8"
"SG.3.16.S",0.49,"R",6,"SG","3","16"
"SG.3.24.S",0.5,"R",6,"SG","3","24"
"SG.4.0.S",1.63,"R",6,"SG","4","0"
"SG.4.8.S",0.99,"R",6,"SG","4","8"
"SG.4.16.S",0.25,"R",5,"SG","4","16"
"SG.4.24.S",0.16,"R",5,"SG","4","24"
"SG.5.0.S",0.72,"R",6,"SG","5","0"
"SG.5.8.S",1.32,"R",5,"SG","5","8"
"SG.5.16.S",0.77,"R",6,"SG","5","16"
"SG.5.24.S",0.12,"R",5,"SG","5","24"
"SG.6.0.S",1.4,"R",6,"SG","6","0"
"SG.6.8.S",1.67,"R",6,"SG","6","8"
"SG.6.16.S",0.41,"R",6,"SG","6","16"
"SG.6.24.S",0.41,"R",5,"SG","6","24"
"BG.1.0.S",0.68,"R",6,"BG","1","0"
"BG.1.8.S",0.39,"R",6,"BG","1","8"
"BG.1.16.S",0.33,"R",5,"BG","1","16"
"BG.1.24.S",0.15,"R",4,"BG","1","24"
"BG.2.0.S",1.07,"R",6,"BG","2","0"
"BG.2.8.S",0.61,"R",6,"BG","2","8"
"BG.2.16.S",0.24,"R",5,"BG","2","16"
"BG.2.24.S",0.22,"R",5,"BG","2","24"
"BG.3.0.S",0.37,"R",5,"BG","3","0"
"BG.3.8.S",0.31,"R",6,"BG","3","8"
"BG.3.16.S",0.22,"R",6,"BG","3","16"
"BG.3.24.S",0.06,"R",3,"BG","3","24"
"BG.4.0.S",0.66,"R",6,"BG","4","0"
"BG.4.8.S",0.22,"R",5,"BG","4","8"
"BG.4.16.S",0.08,"R",2,"BG","4","16"
"BG.4.24.S",0.05,"R",4,"BG","4","24"
"BG.5.0.S",1.02,"R",6,"BG","5","0"
"BG.5.8.S",0.64,"R",6,"BG","5","8"
"BG.5.16.S",0.49,"R",5,"BG","5","16"
"BG.5.24.S",0.12,"R",5,"BG","5","24"
"BG.6.0.S",0.8,"R",6,"BG","6","0"
"BG.6.8.S",1.31,"R",6,"BG","6","8"
"BG.6.16.S",0.47,"R",6,"BG","6","16"
"BG.6.24.S",0.09,"R",3,"BG","6","24"
"BM.1.0.S",0.78,"R",6,"BM","1","0"
"BM.1.8.S",0.61,"R",6,"BM","1","8"
"BM.1.16.S",0.43,"R",6,"BM","1","16"
"BM.1.24.S",0.39,"R",6,"BM","1","24"
"BM.2.0.S",1.9,"R",6,"BM","2","0"
"BM.2.8.S",1.62,"R",6,"BM","2","8"
"BM.2.16.S",2.31,"R",6,"BM","2","16"
"BM.2.24.S",1.24,"R",6,"BM","2","24"
"BM.3.0.S",1.16,"R",6,"BM","3","0"
"BM.3.8.S",1.55,"R",6,"BM","3","8"
"BM.3.16.S",1.41,"R",6,"BM","3","16"
"BM.3.24.S",1.2,"R",6,"BM","3","24"
"BM.4.0.S",1.02,"R",6,"BM","4","0"
"BM.4.8.S",0.78,"R",6,"BM","4","8"
"BM.4.16.S",1.78,"R",6,"BM","4","16"
"BM.4.24.S",1.23,"R",6,"BM","4","24"
"BM.5.0.S",1.59,"R",6,"BM","5","0"
"BM.5.8.S",2.37,"R",6,"BM","5","8"
"BM.5.16.S",1.61,"R",6,"BM","5","16"
"BM.5.24.S",2.55,"R",6,"BM","5","24"
"BM.6.0.S",2.62,"R",6,"BM","6","0"
"BM.6.8.S",1.65,"R",6,"BM","6","8"
"BM.6.16.S",0,"R",6,"BM","6","16"
"BM.6.24.S",1.2,"R",6,"BM","6","24"
